iter	Passed	Remaining
877	1654	229
878	1655	227
879	1657	226
880	1658	224
881	1660	222
882	1661	220
883	1664	218
884	1666	216
885	1668	214
886	1669	212
887	1671	210
888	1672	208
889	1675	207
890	1678	205
891	1679	203
892	1681	201
893	1683	199
894	1684	197
895	1686	195
896	1688	193
897	1689	191
898	1692	190
899	1694	188
900	1696	186
901	1697	184
902	1699	182
903	1700	180
904	1702	178
905	1703	176
906	1705	174
907	1707	173
908	1709	171
909	1710	169
910	1713	167
911	1715	165
912	1717	163
913	1722	162
914	1724	160
915	1727	158
916	1731	156
917	1732	154
918	1736	153
919	1738	151
920	1740	149
921	1742	147
922	1743	145
923	1746	143
924	1747	141
925	1750	139
926	1752	138
927	1754	136
928	1755	134
929	1756	132
930	1758	130
931	1760	128
932	1762	126
933	1764	124
934	1766	122
935	1768	120
936	1769	118
937	1771	117
938	1772	115
939	1774	113
940	1776	111
941	1780	109
942	1781	107
943	1783	105
944	1784	103
945	1785	101
946	1787	100
947	1788	98
948	1789	96
949	1791	94
950	1792	92
951	1794	90
952	1796	88
953	1797	86
954	1799	84
955	1801	82
956	1802	81
957	1804	79
958	1806	77
959	1810	75
960	1812	73
961	1814	71
962	1815	69
963	1817	67
964	1818	65
965	1820	64
966	1823	62
967	1825	60
968	1826	58
969	1828	56
970	1829	54
971	1830	52
972	1832	50
973	1834	48
974	1836	47
975	1838	45
976	1840	43
977	1842	41
978	1843	39
979	1845	37
980	1847	35
981	1848	33
982	1849	31
983	1852	30
984	1854	28
985	1856	26
986	1857	24
987	1859	22
988	1860	20
989	1862	18
990	1864	16
991	1867	15
992	1869	13
993	1871	11
994	1872	9
995	1874	7
996	1875	5
997	1877	3
998	1878	1
999	1881	0
